timestep	p0x	p0y	p0z	plx	ply	plz	ree
189800	-12.16687792	0.4017740538	-1.757485224	-0.6180686443	8.902886069	-13.71054848	18.66868025
189900	-11.85814404	0.5078466703	-2.14185333	-0.7522130464	8.530805118	-13.84030479	18.01564131
190000	-11.26584869	0.6494886275	-2.793963258	-0.7494074345	8.189390679	13.84485898	21.07833165
190100	-10.59336963	0.9370308827	-3.206877823	-0.8488263695	8.119811785	13.84384398	20.91113529
190200	-9.70799572	1.306935779	-3.417459782	-1.137227298	8.404821974	13.84258844	20.53648763
190300	-8.597600157	1.415958657	-4.00088642	-1.565946782	8.6215737	13.75959731	20.41567583
190400	-7.901934108	0.8085763503	-4.959209021	-2.027128818	8.600811573	13.55249608	20.92643048
190500	-7.965053805	0.0950113567	-5.837371672	-2.556535434	7.882671038	13.57621836	21.60525844
190600	-8.529428581	0.005547306063	-6.692962756	-2.827685749	7.575316325	-13.42994272	11.62747493
190700	-9.098260284	0.05965440269	-8.092008968	-1.31767711	7.523142842	13.49882232	24.13307129
190800	-9.636161797	0.8496660442	-8.64163323	-0.1837508592	6.914332198	13.34750729	24.69110262
190900	-10.23770873	1.344912889	-8.638500508	-0.239499571	6.876725986	-13.61106204	12.46160145
191000	-10.67370792	1.542334781	-8.656588299	-0.702562611	6.535632094	-12.46989841	11.78550342
191100	-10.70938115	1.700476248	-8.6331256	-1.687277699	6.51070933	-12.56834877	10.95548604
191200	-10.58382996	1.74910758	-8.559394098	-2.058103153	6.873838932	-13.05895093	10.91773331
191300	-10.43798131	1.398240801	-8.194053846	-1.84396955	6.946530418	-12.46306265	11.0844482
191400	-10.25394882	0.9613918725	-7.8328149	-1.553254921	6.746568201	-11.67043663	11.13093347
191500	-10.26253709	0.8010321993	-7.228576603	-1.096131571	6.537743219	-11.17537787	11.51130243
191600	-10.52994308	0.903413939	-6.673213989	-0.6369409421	6.612201403	-11.82821852	12.53139327
191700	-10.24967752	0.7741538336	-5.79525121	-0.4647626195	6.576961203	-11.68758968	12.81158794
191800	-9.836229713	0.3663437135	-4.954267984	-0.3334078668	6.873532863	-11.46886917	13.23205057
191900	-9.235385342	-0.1142585091	-4.296834378	-0.08608428342	7.251419946	-11.30303542	13.67661442
192000	-8.134388195	-0.2734793671	-4.437173198	-0.0003112894555	7.459876732	-11.72333905	13.3811889
192100	-7.40244477	0.3151965281	-3.91403152	-0.1013093611	7.447004298	-12.23303417	13.16719657
192200	-7.557300231	0.09194374187	-4.204012677	-0.2242893751	7.400284166	-12.65568721	13.36471812
192300	-7.175723445	0.3519995074	-4.644917808	-0.3191081084	7.139602944	-12.98569589	12.75356081
192400	-6.712189268	0.04474070123	-4.982759159	-0.3507968087	6.702245518	-13.21434771	12.35106208
192500	-7.58105175	-0.6276442766	-4.935160775	-0.3641220798	6.246854743	-13.43740379	13.10079948
192600	-8.5514805	-0.9293106125	-4.1125891	-0.3500792073	5.661835138	-13.74909431	14.26774047
192700	-8.531832007	-1.238343263	-2.7673965	-0.03229089849	5.097782211	13.63667924	19.53157408
192800	-8.230451182	-1.711483607	-1.853658756	0.5093665083	4.238343112	12.99056927	18.22459758
192900	-7.839378925	-2.277255755	-2.053869988	-0.4252656429	3.782829936	13.03310373	17.86926105
193000	-7.6669793	-2.526002369	-1.835542154	-1.12552801	3.95832336	12.62049773	17.14100797
193100	-7.264797549	-2.679603111	-1.73336219	-1.273424439	4.811432642	12.49639195	17.1609461
193200	-6.731387756	-2.89427782	-1.740531364	-0.6794633604	4.678624857	12.82241312	17.49439899
193300	-6.304418593	-3.144627156	-2.019008138	0.07334905848	4.36115269	12.91620176	17.89058819
193400	-6.364623167	-3.12159528	-2.776435018	0.6443471252	3.468761711	12.83556917	18.33829721
193500	-6.355560266	-2.415110972	-3.003879209	0.7492987255	2.466998744	12.77027624	17.97603952
193600	-6.539873089	-1.56102393	-2.623707631	0.1971363259	1.790476665	12.52844152	16.91766757
193700	-6.777623248	-1.735065067	-2.461765171	-0.2346731944	1.169650867	12.19765793	16.31398957
193800	-6.934411967	-2.315477998	-2.758728143	-0.5724805348	0.8408367044	11.94982591	16.33334186
193900	-7.120978989	-2.6081385	-2.847962901	-1.597281441	0.798760489	11.97543201	16.18181794
194000	-7.473587321	-3.003831958	-3.293109566	-1.895990951	1.399023776	12.42122896	17.24630845
194100	-8.018409658	-3.086090153	-4.164393137	-2.340356221	1.434941649	12.62529892	18.29135804
194200	-7.952576752	-4.13702551	-4.276696779	-2.553834863	1.437901018	12.62062744	18.59424065
194300	-7.980497209	-4.763399284	-4.675452423	-2.901031098	1.805936181	12.50388519	19.08105829
194400	-7.928770377	-5.054100852	-4.819338336	-3.277877787	2.267421901	12.49540584	19.36584269
194500	-7.968004544	-5.332585329	-5.086528897	-2.844305244	2.309808894	12.20876253	19.59044638
194600	-7.977352867	-5.57729396	-5.342224299	-2.803867127	1.856579145	11.97411062	19.54182384
194700	-7.748566113	-5.759937922	-5.371339854	-3.204867015	1.022832149	12.25136458	19.42191759
194800	-7.43087079	-5.926061973	-4.990314412	-3.491094839	0.4309611733	12.58815996	19.10330702
194900	-7.554896299	-6.080010456	-4.345059528	-3.313722665	0.06919248625	13.12281619	18.99807708
